typed_response,target_response,typed_det,typed_stem,typed_ending
something zeebaaf,ked zeevesh,unmappable no match: something,unmappable no match: zeeb,"('small', 'p')"
something skunok,lom skunok,unmappable no match: something,correct,correct
someting zipesh,ked zimbesh,unmappable no match: someting,unmappable no match: zip,correct
something manool,jeb monool,unmappable no match: something,unmappable no match: man,correct
something frusok,lom frusok,unmappable no match: something,correct,correct
something pumok,lom pumok,unmappable no match: something,correct,correct
something pexool,jeb pexool,unmappable no match: something,correct,correct
something plimool,jeb plimool,unmappable no match: something,correct,correct
something ,lom vorok,couldn't,parse,syllables
something timbok,ked tochesh,unmappable no match: something,unmappable no match: timb,"('big', 's')"
something skunool,jeb skunool,unmappable no match: something,correct,correct
something glarmok,lom glarmok,unmappable no match: something,correct,correct
something zeebaaf,dap zeevaaf,unmappable no match: something,unmappable no match: zeeb,correct
something pumool,jeb pumool,unmappable no match: something,correct,correct
something chetool,dap chetaaf,unmappable no match: something,correct,"('big', 'p')"
something foudool,jeb foudool,unmappable no match: something,correct,correct
something heebesh,ked heefesh,unmappable no match: something,unmappable no match: heeb,correct
something foudok,lom foudok,unmappable no match: something,correct,correct
something hullesh,ked hullesh,unmappable no match: something,correct,correct
something sabool,dap sibaaf,unmappable no match: something,unmappable no match: sab,"('big', 'p')"
something thebok,lom thebok,unmappable no match: something,correct,correct
something crenok,ked kredesh,unmappable no match: something,unmappable no match: cren,"('big', 's')"
something thebool,jeb thebool,unmappable no match: something,correct,correct
something glarbool,jeb glarmool,unmappable no match: something,unmappable no match: glarb,correct
something heebaaf,dap heefaaf,unmappable no match: something,unmappable no match: heeb,correct
something zumool,jeb zoutool,unmappable no match: something,unmappable no match: zum,correct
something pavok,lom pavok,unmappable no match: something,correct,correct
something ruzok,lom roozok,unmappable no match: something,unmappable no match: ruz,correct
something stamok,lom stamok,unmappable no match: something,correct,correct
something pexok,lom pexok,unmappable no match: something,correct,correct
something burok,ked buresh,unmappable no match: something,correct,"('big', 's')"
something bipesh,ked biffesh,unmappable no match: something,unmappable no match: bip,correct
something sarbool,jeb sarbool,unmappable no match: something,correct,correct
something,jeb vorool,couldn't,parse,syllables
something stamool,jeb stamool,unmappable no match: something,correct,correct
something buraaf,dap buraaf,unmappable no match: something,correct,correct
something bepaaf,dap tamaaf,unmappable no match: something,small training,correct
something hullaaf,dap hullaaf,unmappable no match: something,correct,correct
something bipesh,ked tamesh,unmappable no match: something,unmappable no match: bip,correct
something zamok,lom zoutok,unmappable no match: something,unmappable no match: zam,correct
something zipaaf,dap zimbaaf,unmappable no match: something,unmappable no match: zip,correct
something manok,lom monok,unmappable no match: something,unmappable no match: man,correct
something ,lom naosok,couldn't,parse,syllables
something frusool,jeb frusool,unmappable no match: something,correct,correct
something rusool,jeb roozool,unmappable no match: something,unmappable no match: rus,correct
something bepesh,ked bepesh,unmappable no match: something,correct,correct
something bafaaf,dap biffaaf,unmappable no match: something,unmappable no match: baf,correct
something chetok,ked chetesh,unmappable no match: something,correct,"('big', 's')"
something bepaaf,dap bepaaf,unmappable no match: something,correct,correct
something timok,lom teepok,unmappable no match: something,unmappable no match: tim,correct
something sarbok,lom sarbok,unmappable no match: something,correct,correct
something chagool,jeb chagool,unmappable no match: something,correct,correct
something crenaaf,dap kredaaf,unmappable no match: something,unmappable no match: cren,correct
something sabok,ked sibesh,unmappable no match: something,unmappable no match: sab,"('big', 's')"
something chagok,lom chagok,unmappable no match: something,correct,correct
something timool,jeb teepool,unmappable no match: something,unmappable no match: tim,correct
something,jeb naosool,couldn't,parse,syllables
something timool,dap tochaaf,unmappable no match: something,unmappable no match: tim,"('big', 'p')"
something plimok,lom plimok,unmappable no match: something,correct,correct
something pavaaf,jeb pavool,unmappable no match: something,correct,"('small', 'p')"
jeb thebok,jeb vorok,correct,big training,correct
ked chetaaf,ked tamaaf,correct,small testing,correct
dap zeevesh,dap zeevesh,correct,correct,correct
dap chetesh,dap chetesh,correct,correct,correct
lom pavool,lom pavool,correct,correct,correct
lom nasool,lom naosool,correct,unmappable no match: nas,correct
ked bepesh,ked bepaaf,correct,correct,"('small', 's')"
jeb sarboof,jeb pumok,correct,big training,unmappable no match: oof
lom thebol,lom thebool,correct,correct,unmappable no match: ol
jeb plimok,jeb plimok,correct,correct,correct
ked kredaf,ked kredaaf,correct,correct,unmappable no match: af
jeb zouto,dap zimbesh,"('big', 'p')",big training,unmappable no match: o
jeb zoutok,jeb zoutok,correct,correct,correct
jeb chagok,jeb glarmok,correct,big training,correct
dap tanaf,dap heefesh,correct,unmappable no match: tan,unmappable no match: af
lom guhool,ked heefaaf,"('big', 's')",unmappable no match: guh,"('big', 'p')"
kad chetaf,ked chetaaf,unmappable no match: kad,correct,unmappable no match: af
jeb chagof,jeb chagok,correct,correct,unmappable no match: of
jeb fugaf,dap buresh,"('big', 'p')",unmappable no match: fug,unmappable no match: af
jeb stambok,jeb frusok,correct,unmappable no match: stamb,correct
lom mogoul,lom stamool,correct,unmappable no match: mog,unmappable no match: oul
lom monool,lom monool,correct,correct,correct
jeb thagof,dap tochesh,"('big', 'p')",unmappable no match: thag,unmappable no match: of
lom foudol,lom pumool,correct,big training,unmappable no match: ol
jeb dufof,dap biffesh,"('big', 'p')",unmappable no match: duf,unmappable no match: of
lom fuusol,lom frusool,correct,unmappable no match: fuus,unmappable no match: ol
